id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14180906,"2Bd Bungalow with backyard sauna,  by Alberta Arts",22320983,Winston,,Concordia,45.56533,-122.62495,Entire home/apt,358,3,55,11/27/2021,0.84,1,365,15,17-245183-000-00-HO
14184963,The Clay Hut: Private Bed&Bath in Backyard Garden,21571871,Victoria,,Hosford-Abernethy,45.51053,-122.65377,Entire home/apt,92,1,651,12/17/2021,9.9,1,57,141,City registration pending
14184971,Modern NE Portland Studio on a Beautiful Street,41328344,Joel,,King,45.5639,-122.66472,Entire home/apt,90,3,233,8/30/2021,3.77,1,0,29,16-223981-000-00-HO
14184984,Unique Portland Pad in Alberta Arts !,85958981,Kirsten,,Concordia,45.55841,-122.64186,Entire home/apt,129,3,133,11/23/2021,2.1,2,0,30,City registration pending
14187559,Secret Garden in Southeast Portland,81774414,Zekial,,South Tabor,45.50174,-122.60871,Entire home/apt,110,5,44,8/28/2020,0.67,1,0,0,16-107645-000-00-HO
14196522,Private Suite in Southeast Portland,15197939,Daniel,,Powellhurst-Gilbert,45.5002,-122.57304,Private room,70,2,50,12/12/2021,0.77,1,77,6,16-212280-000-00-HO
14210054,Immaculate 5BR/3BA Elegant House Downtown NW,73257018,Leah,,Northwest District,45.53603,-122.70502,Entire home/apt,512,2,139,12/7/2021,2.15,1,319,21,17-285808-000-00-LU
14216264,Elegant  Retreat near Reed College,42047280,Priscilla,,Woodstock,45.47375,-122.62025,Entire home/apt,355,3,38,11/27/2021,0.63,1,105,12,17-177865-000-00-HO
14267023,Midcentury Marvel,5849887,Karina,,Woodlawn,45.57374,-122.64465,Private room,49,1,345,10/24/2021,5.26,1,0,14,16-116233-000-00-HO
14267900,Victorian Get Away -kitchenette,86964129,Meghan,,North Tabor,45.52382,-122.60184,Entire home/apt,72,10,48,11/13/2021,0.75,1,83,6,City registration pending
14293805,Vintage Sunny Southeast 2 Bedroom,87276189,Marie,,Buckman,45.51529,-122.63875,Entire home/apt,130,28,71,10/26/2021,1.27,1,180,8,17-121764-000-00-HO
14319174,Woodstock Tiny House,12872871,Chris & Banning,,Woodstock,45.48232,-122.61425,Entire home/apt,74,1,520,12/10/2021,7.95,1,144,104,City registration pending
14322082,"Comfy, spacious and private bedroom suite",87614890,Greg,,Richmond,45.50159,-122.62485,Private room,85,1,71,11/10/2019,1.34,1,0,0,City registration pending
14341525,Entire house in NE Portland w/ landscaped backyard,42852751,Tal,,Beaumont-Wilshire,45.55641,-122.62782,Entire home/apt,340,30,28,8/31/2021,0.43,1,347,2,
14450148,Mi casa Es Tu Casa,88997237,Adam,,Creston-Kenilworth,45.49135,-122.61221,Entire home/apt,77,2,2,11/27/2021,2,1,68,2,City registration pending
14452990,Beautiful modern condo on SE Division,1186587,Mike,,Richmond,45.50696,-122.61744,Entire home/apt,54,30,13,9/30/2020,0.22,1,201,0,
14475485,Portland Close to Downtown & Airport!,18925199,Cecilia,,Rose City Park,45.54592,-122.59728,Entire home/apt,81,3,145,11/15/2021,2.24,3,263,18,17-110718-000-00-HO
14502584,Fresh North Portland Studio,42715966,Andrea,,Humboldt,45.56262,-122.67652,Entire home/apt,105,2,267,12/12/2021,4.67,1,299,49,17-107872-000-00-HO
14505032,"Clean, Modern & Cozy in NE Portland  (2bd, 1bth)",45410272,Omar & Amanda,,Sullivan's Gulch,45.53168,-122.64548,Entire home/apt,85,1,439,12/12/2021,6.83,1,44,81,City registration pending
14518291,Large room with king bed and private bath,11842430,Tanya,,South Portland,45.46991,-122.67374,Private room,59,30,64,11/26/2017,0.99,2,234,0,16-245837-000-00-HO
14535161,Right on Hawthorne - w 2 perfectly cozy King beds,49123414,Jessica,,Sunnyside,45.51231,-122.63345,Entire home/apt,300,2,103,3/2/2020,1.81,1,0,0,19-160463-000-00-HO
14592068,Charming Bungalow Close in SE Portland with A/C,51175099,Robert,,Creston-Kenilworth,45.49179,-122.63527,Entire home/apt,116,1,225,12/19/2021,7.18,1,152,86,18-278910-000-00-HO
14595216,Hillsdale Spacious Comfy House,31628608,Ryan,,Hillsdale,45.4806,-122.68831,Entire home/apt,123,2,62,10/17/2021,1.22,1,158,6,17-245103-000-00-HO
14632018,Portland vintage 2 br in heart of SE Woodstock,86128240,Josh,,Woodstock,45.48054,-122.6202,Entire home/apt,171,2,11,12/5/2021,3.3,1,75,11,City registration pending
14653299,Reed Ranch - Ready for your Portland Adventure,3725504,Deborah,,Reed,45.48532,-122.6295,Entire home/apt,149,2,55,7/26/2020,0.85,1,167,0,16-236358-000-00-HO
14654125,Come Home To A Place You've Never Been Before,6586631,Wayne,,Woodstock,45.48815,-122.61146,Entire home/apt,380,4,25,11/8/2021,0.4,1,242,10,17-132046-000-00-HO
14685916,Guest House near Alberta & Killingsworth districts,7057156,Eduardo,,King,45.56407,-122.65749,Entire home/apt,85,2,191,12/13/2021,3.06,2,4,29,City registration pending
14686967,*On Alberta! Modern Artist Loft w/ Rooftop Views!*,51738043,Megan,,Vernon,45.56027,-122.65199,Entire home/apt,138,2,246,12/10/2021,3.85,1,88,57,Exempt
14713902,Unique Floating House for Monthly Rental!,26062228,David,,Hayden Island,45.60719,-122.67358,Entire home/apt,75,30,251,10/15/2021,4.14,1,136,1,17-159874-000-00-HO
14731137,Female Dorm Room: Bunk Top by Window,6108040,Monica-Sophie,,Powellhurst-Gilbert,45.49921,-122.57307,Shared room,19,31,1,8/21/2021,0.25,4,269,1,
14731871,"Studio Guest Suite, Close-In SE Portland",74980847,Will,,Kerns,45.52373,-122.63184,Private room,115,2,66,11/29/2021,1.02,1,233,2,City registration pending
14772665,Ivon Garden Cottage,1586012,Lucy,,Richmond,45.50386,-122.61675,Entire home/apt,173,1,451,12/12/2021,6.99,1,149,43,16-249665-000-00-HO
